geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1045,-23.54230306549716,-46.64280268887412,sao paulo,SP
1013,-23.547686322234377,-46.6341397692307,são paulo,SP
1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
1042,-23.544667372468112,-46.64066942714524,são paulo,SP
1009,-23.546340513734236,-46.63623850320264,sao paulo,SP
1050,-23.549107326677785,-46.644104604074144,são paulo,SP
1001,-23.54929199999999,-46.633559478233785,sao paulo,SP
1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
1014,-23.54631891978764,-46.63343055730286,sao paulo,SP
1009,-23.546340513734236,-46.63623850320264,sao paulo,SP
1043,-23.54501365751052,-46.641993024150246,sao paulo,SP
1050,-23.549107326677785,-46.644104604074144,são paulo,SP
1014,-23.546940580846677,-46.633311921420805,sao paulo,SP
1047,-23.54627311241268,-46.64122516971552,sao paulo,SP
1032,-23.53701970912921,-46.63435857175824,sao paulo,SP
1050,-23.550449207051752,-46.64324288827981,sao paulo,SP
1017,-23.548851827918533,-46.63120714847948,sao paulo,SP
1015,-23.544826346129778,-46.63086956396899,sao paulo,SP
1032,-23.53701970912921,-46.63435857175824,sao paulo,SP
1039,-23.5406861987132,-46.638296449218,sao paulo,SP
1008,-23.545341492094146,-46.63558668567147,sao paulo,SP
1005,-23.549819091869107,-46.63560588995324,sao paulo,SP
1046,-23.546252957116764,-46.64521736309942,sao paulo,SP
1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
1045,-23.542925000621707,-46.643423947383695,sao paulo,SP
1024,-23.54186295323959,-46.63003529431536,sao paulo,SP
1031,-23.542520789115148,-46.63533516134283,sao paulo,SP
1014,-23.54676158651283,-46.63345484931019,sao paulo,SP
1038,-23.542679676299095,-46.63819683884986,sao paulo,SP
1050,-23.55073674632121,-46.64337116570483,sao paulo,SP
1016,-23.54849512877264,-46.633490627676125,sao paulo,SP
1049,-23.54530659310986,-46.636994571065735,sao paulo,SP
1026,-23.539439503750906,-46.63306386663973,sao paulo,SP
1016,-23.549283671100515,-46.63148490091751,sao paulo,SP
1010,-23.546851358078364,-46.63554539392908,sao paulo,SP
1029,-23.537313618096828,-46.63302994561133,são paulo,SP
1021,-23.54516769470249,-46.63224867958328,sao paulo,SP
1018,-23.550218647763327,-46.63188,sao paulo,SP
1014,-23.54533828642738,-46.63358224756194,sao paulo,SP
1044,-23.54575105023373,-46.64132693574358,sao paulo,SP
1034,-23.543343,-46.637777250000006,sao paulo,SP
1049,-23.547441373853093,-46.63887208826244,sao paulo,SP
1014,-23.547215717345587,-46.63338619272009,sao paulo,SP
1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
1043,-23.544734636418685,-46.64252349042071,sao paulo,SP
1020,-23.552495528997667,-46.63206,são paulo,SP
1046,-23.545317917306143,-46.64397479626647,sao paulo,SP
1050,-23.54880166250217,-46.64237336704375,são paulo,SP
1035,-23.54043969776091,-46.64371578005073,sao paulo,SP
1036,-23.54131144157196,-46.64188583152521,sao paulo,SP
1046,-23.545368575913177,-46.64318283002467,sao paulo,SP
1046,-23.54675842186512,-46.64577102790114,são paulo,SP
1048,-23.547154064948906,-46.639547890501504,sao paulo,SP
1035,-23.5439473297362,-46.63739650167344,sao paulo,SP
1046,-23.54639669248079,-46.64305934055624,sao paulo,SP
1044,-23.544896375238064,-46.64201998306312,são paulo,SP
1045,-23.54275397723474,-46.64148202608349,sao paulo,SP
